pca_power('pendigits_training.txt','pendigits_test.txt',1,10)
Eigenvector  1
Test Object  92
1 :  117.0284
Test Object  93
1 :  53.9477
Test Object  94
1 :  32.8327
Test Object  95
1 :  144.8904
Test Object  96
1 :  -53.4913
Test Object  97
1 :  -2.2339
Test Object  98
1 :  33.2761
Test Object  99
1 :  55.2397
Test Object  100
1 :  18.9079
Test Object  101
1 :  8.3382
Test Object  102
1 :  56.3228
Test Object  103
1 :  89.1794
Test Object  104
1 :  13.4899
Test Object  105
1 :  123.9639
Test Object  106
1 :  139.5336
Test Object  107
1 :  77.8859
Test Object  108
1 :  124.5580
Test Object  109
1 :  79.9742
Test Object  110
1 :  94.7619
Test Object  111
1 :  127.1235
Test Object  112
1 :  25.5215
Test Object  113
1 :  26.6350
Test Object  114
1 :  -0.2874
Test Object  115
1 :  29.9684
Test Object  116
1 :  -71.7716
Test Object  117
1 :  115.0996
Test Object  118
1 :  -30.6984
Test Object  119
1 :  55.3194
Test Object  120
1 :  67.5590
Test Object  121
1 :  37.0052
Test Object  122
1 :  86.3615
Test Object  123
1 :  112.5047
Test Object  124
1 :  -42.4598
Test Object  125
1 :  69.4303
Test Object  126
1 :  -93.0794
Test Object  127
1 :  42.6700
Test Object  128
1 :  -48.6398
Test Object  129
1 :  35.6328
Test Object  130
1 :  61.4085
Test Object  131
1 :  124.6770
Test Object  132
1 :  -38.6885
Test Object  133
1 :  74.1993
Test Object  134
1 :  73.4084
Test Object  135
1 :  116.5267
Test Object  136
1 :  56.6871
Test Object  137
1 :  -16.3910
Test Object  138
1 :  134.7189
Test Object  139
1 :  99.4953
Test Object  140
1 :  -54.1650
Test Object  141
1 :  103.7725
Test Object  142
1 :  72.4314
Test Object  143
1 :  -24.2526
Test Object  144
1 :  -1.4127
Test Object  145
1 :  42.0612
Test Object  146
1 :  107.2837
Test Object  147
1 :  134.1517
Test Object  148
1 :  52.8119
Test Object  149
1 :  78.3198
Test Object  150
1 :  -6.3298
Test Object  151
1 :  108.5273
Test Object  152
1 :  83.9914
Test Object  153
1 :  80.4564
Test Object  154
1 :  43.3656
Test Object  155
1 :  14.5872
Test Object  156
1 :  37.5409
Test Object  157
1 :  58.7404
Test Object  158
1 :  -77.6407
Test Object  159
1 :  127.9984
Test Object  160
1 :  116.3615
Test Object  161
1 :  118.7285
Test Object  162
1 :  138.7083
Test Object  163
1 :  -47.4121
Test Object  164
1 :  89.4761
Test Object  165
1 :  79.6188
Test Object  166
1 :  123.5514
Test Object  167
1 :  103.2295
Test Object  168
1 :  -39.7546
Test Object  169
1 :  141.3269
Test Object  170
1 :  144.4558
Test Object  171
1 :  47.3612
Test Object  172
1 :  58.8023
Test Object  173
1 :  45.0643
Test Object  174
1 :  -56.7598
Test Object  175
1 :  -86.1793
Test Object  176
1 :  131.7430
Test Object  177
1 :  128.6213
Test Object  178
1 :  -75.9485
Test Object  179
1 :  -31.0386
Test Object  180
1 :  100.4570
Test Object  181
1 :  99.0820
Test Object  182
1 :  31.1028
Test Object  183
1 :  -18.9763
Test Object  184
1 :  97.0389
Test Object  185
1 :  -17.1981
Test Object  186
1 :  48.3466
Test Object  187
1 :  -47.6641
Test Object  188
1 :  20.0866
Test Object  189
1 :  46.0432
Test Object  190
1 :  52.6189
Test Object  191
1 :  113.6864
Test Object  192
1 :  89.4934
Test Object  193
1 :  81.5590
Test Object  194
1 :  53.5638
Test Object  195
1 :  -86.1572
Test Object  196
1 :  -25.5551
Test Object  197
1 :  131.8263
Test Object  198
1 :  -19.8699
Test Object  199
1 :  25.6369
Test Object  200
1 :  109.0825
Test Object  201
1 :  25.4365
Test Object  202
1 :  34.3272
Test Object  203
1 :  38.9432
Test Object  204
1 :  37.5404
Test Object  205
1 :  149.4274
Test Object  206
1 :  25.7562
Test Object  207
1 :  124.4326
Test Object  208
1 :  -35.2612
Test Object  209
1 :  71.8070
Test Object  210
1 :  90.1987
Test Object  211
1 :  2.3512
Test Object  212
1 :  20.9499
Test Object  213
1 :  128.1384
Test Object  214
1 :  57.6147
Test Object  215
1 :  49.4328
Test Object  216
1 :  121.3834
Test Object  217
1 :  -19.1572
Test Object  218
1 :  -83.9801
Test Object  219
1 :  56.2486
Test Object  220
1 :  68.3728
Test Object  221
1 :  140.1644
Test Object  222
1 :  -14.4653
Test Object  223
1 :  19.1986
Test Object  224
1 :  84.2317
Test Object  225
1 :  -87.3939
Test Object  226
1 :  -46.2479
Test Object  227
1 :  74.6463
Test Object  228
1 :  69.1922
Test Object  229
1 :  16.5653
Test Object  230
1 :  37.1129
Test Object  231
1 :  91.8112
Test Object  232
1 :  -23.8339
Test Object  233
1 :  60.1342
Test Object  234
1 :  66.8488
Test Object  235
1 :  126.5507
Test Object  236
1 :  6.3424
Test Object  237
1 :  36.9073
Test Object  238
1 :  79.1673
Test Object  239
1 :  24.2065
Test Object  240
1 :  47.9428
Test Object  241
1 :  -40.5837
Test Object  242
1 :  89.2479
Test Object  243
1 :  125.7375
Test Object  244
1 :  132.1516
Test Object  245
1 :  50.0443
Test Object  246
1 :  24.8404
Test Object  247
1 :  -17.0882
Test Object  248
1 :  115.7049
Test Object  249
1 :  34.0648
Test Object  250
1 :  100.7617
Test Object  251
1 :  119.1230
Test Object  252
1 :  -20.5084
Test Object  253
1 :  43.1129
Test Object  254
1 :  -81.9029
Test Object  255
1 :  -39.2787
Test Object  256
1 :  42.3297
Test Object  257
1 :  34.4162
Test Object  258
1 :  63.8496
Test Object  259
1 :  68.1590
Test Object  260
1 :  66.2661
Test Object  261
1 :  -9.7349
Test Object  262
1 :  60.5079
Test Object  263
1 :  48.4239
Test Object  264
1 :  102.5076
Test Object  265
1 :  -54.6548
Test Object  266
1 :  140.4423
Test Object  267
1 :  37.8997
Test Object  268
1 :  27.9157
Test Object  269
1 :  -60.9966
Test Object  270
1 :  -5.0510
Test Object  271
1 :  76.1756
Test Object  272
1 :  100.3604
Test Object  273
1 :  35.4803
Test Object  274
1 :  26.2757
Test Object  275
1 :  110.2823
Test Object  276
1 :  -44.5398
Test Object  277
1 :  83.9312
Test Object  278
1 :  49.2245
Test Object  279
1 :  150.1516
Test Object  280
1 :  91.6358
Test Object  281
1 :  47.4242
Test Object  282
1 :  80.5236
Test Object  283
1 :  59.1220
Test Object  284
1 :  -49.3567
Test Object  285
1 :  -26.2076
Test Object  286
1 :  43.0499
Test Object  287
1 :  -63.6551
Test Object  288
1 :  116.2543
Test Object  289
1 :  39.5305
Test Object  290
1 :  129.8930
Test Object  291
1 :  68.4403
Test Object  292
1 :  -48.0828
Test Object  293
1 :  65.3693
Test Object  294
1 :  122.5511
Test Object  295
1 :  -60.9862
Test Object  296
1 :  -33.6871
Test Object  297
1 :  138.4856
Test Object  298
1 :  87.4785
Test Object  299
1 :  109.1763
Test Object  300
1 :  130.9286
Test Object  301
1 :  -75.4741
Test Object  302
1 :  41.1734
Test Object  303
1 :  -48.6589
Test Object  304
1 :  48.1950
Test Object  305
1 :  60.4459
Test Object  306
1 :  40.5617
Test Object  307
1 :  23.4536
Test Object  308
1 :  146.5007
Test Object  309
1 :  46.9868
Test Object  310
1 :  26.8551
Test Object  311
1 :  69.7326
Test Object  312
1 :  122.6059
Test Object  313
1 :  -28.2343
Test Object  314
1 :  89.2043
Test Object  315
1 :  -38.8564
Test Object  316
1 :  43.6381
Test Object  317
1 :  100.8292
Test Object  318
1 :  -58.8195
Test Object  319
1 :  -6.4580
Test Object  320
1 :  134.9317
Test Object  321
1 :  -46.4425
Test Object  322
1 :  27.1348
Test Object  323
1 :  140.7149
Test Object  324
1 :  -79.2865
Test Object  325
1 :  25.9738
Test Object  326
1 :  30.3096
Test Object  327
1 :  -63.8620
Test Object  328
1 :  -19.5923
Test Object  329
1 :  28.1633
Test Object  330
1 :  145.3625
Test Object  331
1 :  51.5146
Test Object  332
1 :  0.6694
Test Object  333
1 :  56.3146
Test Object  334
1 :  -52.1685
Test Object  335
1 :  20.1756
Test Object  336
1 :  127.0770
Test Object  337
1 :  140.6566
Test Object  338
1 :  44.7923
Test Object  339
1 :  67.2614
Test Object  340
1 :  -36.4662
Test Object  341
1 :  43.1446
Test Object  342
1 :  -26.8185
Test Object  343
1 :  -72.0372
Test Object  344
1 :  43.5925
Test Object  345
1 :  97.6033
Test Object  346
1 :  68.0895
Test Object  347
1 :  56.2307
Test Object  348
1 :  134.6234
Test Object  349
1 :  -47.8128
Test Object  350
1 :  63.3629
Test Object  351
1 :  79.6959
Test Object  352
1 :  131.2634
Test Object  353
1 :  110.6916
Test Object  354
1 :  42.1097
Test Object  355
1 :  -63.3390
Test Object  356
1 :  74.6626
Test Object  357
1 :  129.4749
Test Object  358
1 :  123.3443
Test Object  359
1 :  11.8992
Test Object  360
1 :  123.9033
Test Object  361
1 :  72.4645
Test Object  362
1 :  26.7575
Test Object  363
1 :  69.1356
Test Object  364
1 :  113.5107
Test Object  365
1 :  75.9528
Test Object  366
1 :  0.3795
Test Object  367
1 :  7.5127
Test Object  368
1 :  34.1625
Test Object  369
1 :  -60.8150
Test Object  370
1 :  59.3397
Test Object  371
1 :  -23.8226
Test Object  372
1 :  124.2892
Test Object  373
1 :  64.4799
Test Object  374
1 :  73.3841
Test Object  375
1 :  -24.6371
Test Object  376
1 :  55.7153
Test Object  377
1 :  -43.1461
Test Object  378
1 :  -39.4815
Test Object  379
1 :  124.6488
Test Object  380
1 :  -3.9638
Test Object  381
1 :  119.3987
Test Object  382
1 :  -55.8255
Test Object  383
1 :  48.9507
Test Object  384
1 :  53.4789
Test Object  385
1 :  24.8717
Test Object  386
1 :  37.4254
Test Object  387
1 :  -39.6816
Test Object  388
1 :  129.1691
Test Object  389
1 :  39.4443
Test Object  390
1 :  -49.2845
Test Object  391
1 :  2.1106
Test Object  392
1 :  120.9072
Test Object  393
1 :  94.9497
Test Object  394
1 :  134.0132
Test Object  395
1 :  81.4354
Test Object  396
1 :  67.0848
Test Object  397
1 :  17.9247
Test Object  398
1 :  38.0679
Test Object  399
1 :  58.0376
Test Object  400
1 :  45.0150
Test Object  401
1 :  -27.2992
Test Object  402
1 :  112.2271
Test Object  403
1 :  138.4103
Test Object  404
1 :  72.7188
Test Object  405
1 :  140.3422
Test Object  406
1 :  86.4725
Test Object  407
1 :  76.8686
Test Object  408
1 :  84.3774
Test Object  409
1 :  118.4805
Test Object  410
1 :  103.1361
Test Object  411
1 :  127.8796
Test Object  412
1 :  64.2584
Test Object  413
1 :  68.8582
Test Object  414
1 :  128.9072
Test Object  415
1 :  125.5554
Test Object  416
1 :  -46.6867
Test Object  417
1 :  27.4773
Test Object  418
1 :  52.5249
Test Object  419
1 :  159.2537
Test Object  420
1 :  58.4349
Test Object  421
1 :  47.7621
Test Object  422
1 :  -37.5968
Test Object  423
1 :  138.2540
Test Object  424
1 :  -21.6247
Test Object  425
1 :  110.3152
Test Object  426
1 :  -21.3838
Test Object  427
1 :  15.9060
Test Object  428
1 :  113.5628
Test Object  429
1 :  -30.1902
Test Object  430
1 :  24.3962
Test Object  431
1 :  109.3114
Test Object  432
1 :  87.9173
Test Object  433
1 :  92.8844
Test Object  434
1 :  -68.2830
Test Object  435
1 :  127.6878
Test Object  436
1 :  43.8758
Test Object  437
1 :  -55.4104
Test Object  438
1 :  -32.7491
Test Object  439
1 :  -22.3219
Test Object  440
1 :  79.0757
Test Object  441
1 :  134.6616
Test Object  442
1 :  144.6114
Test Object  443
1 :  45.1818
Test Object  444
1 :  35.7966
Test Object  445
1 :  27.1204
Test Object  446
1 :  80.6371
Test Object  447
1 :  105.4651
Test Object  448
1 :  116.8996
Test Object  449
1 :  34.5968
Test Object  450
1 :  94.0476
Test Object  451
1 :  -44.5942
Test Object  452
1 :  141.4604
Test Object  453
1 :  -6.4972
Test Object  454
1 :  85.5589
Test Object  455
1 :  50.2011
Test Object  456
1 :  -45.2360
Test Object  457
1 :  31.7553
Test Object  458
1 :  73.6683
Test Object  459
1 :  119.1182
Test Object  460
1 :  -34.4178
Test Object  461
1 :  123.9668
Test Object  462
1 :  130.4694
Test Object  463
1 :  43.3955
Test Object  464
1 :  98.4227
Test Object  465
1 :  19.9473
Test Object  466
1 :  96.7864
Test Object  467
1 :  -38.2655
Test Object  468
1 :  53.1369
Test Object  469
1 :  -31.4922
Test Object  470
1 :  45.0547
Test Object  471
1 :  64.6652
Test Object  472
1 :  74.2958
Test Object  473
1 :  95.8541
Test Object  474
1 :  61.6641
Test Object  475
1 :  -48.3323
Test Object  476
1 :  50.7910
Test Object  477
1 :  78.2680
Test Object  478
1 :  80.8710
Test Object  479
1 :  124.1067
Test Object  480
1 :  31.1823
Test Object  481
1 :  87.1536
Test Object  482
1 :  33.3266
Test Object  483
1 :  39.4907
Test Object  484
1 :  131.0284
Test Object  485
1 :  70.1533
Test Object  486
1 :  -53.4063
Test Object  487
1 :  89.3138
Test Object  488
1 :  133.3621
Test Object  489
1 :  150.2538
Test Object  490
1 :  116.9740
Test Object  491
1 :  98.6750
Test Object  492
1 :  127.1872
Test Object  493
1 :  19.2578
Test Object  494
1 :  110.2870
Test Object  495
1 :  75.8630
Test Object  496
1 :  130.1545
Test Object  497
1 :  129.8701
Test Object  498
1 :  117.4573
Test Object  499
1 :  29.8012
Test Object  500
1 :  116.7433
Test Object  501
1 :  145.9927
Test Object  502
1 :  135.9493
Test Object  503
1 :  101.3780
Test Object  504
1 :  46.5881
Test Object  505
1 :  41.0260
Test Object  506
1 :  87.0650
Test Object  507
1 :  -27.7986
Test Object  508
1 :  130.5603
Test Object  509
1 :  -35.7883
Test Object  510
1 :  64.4884
Test Object  511
1 :  130.8386
Test Object  512
1 :  144.4413
Test Object  513
1 :  23.3143
Test Object  514
1 :  31.9697
Test Object  515
1 :  63.9083
Test Object  516
1 :  38.8889
Test Object  517
1 :  -54.2274
Test Object  518
1 :  133.7169
Test Object  519
1 :  -80.9615
Test Object  520
1 :  -39.6166
Test Object  521
1 :  -38.8866
Test Object  522
1 :  143.0852
Test Object  523
1 :  34.2796
Test Object  524
1 :  45.4369
Test Object  525
1 :  35.0626
Test Object  526
1 :  -42.5093
Test Object  527
1 :  128.7746
Test Object  528
1 :  118.8528
Test Object  529
1 :  33.0512
Test Object  530
1 :  26.2639
Test Object  531
1 :  32.8785
Test Object  532
1 :  68.4808
Test Object  533
1 :  133.7807
Test Object  534
1 :  117.9692
Test Object  535
1 :  63.6913
Test Object  536
1 :  -63.9267
Test Object  537
1 :  -53.2510
Test Object  538
1 :  3.2717
Test Object  539
1 :  139.4372
Test Object  540
1 :  61.1634
Test Object  541
1 :  84.5047
Test Object  542
1 :  -87.7969
Test Object  543
1 :  60.7547
Test Object  544
1 :  96.5414
Test Object  545
1 :  22.2552
Test Object  546
1 :  -13.3427
Test Object  547
1 :  125.8288
Test Object  548
1 :  -34.6749
Test Object  549
1 :  84.0006
Test Object  550
1 :  58.3174
Test Object  551
1 :  -57.0848
Test Object  552
1 :  27.4735
Test Object  553
1 :  26.0396
Test Object  554
1 :  38.7834
Test Object  555
1 :  123.3609
Test Object  556
1 :  43.6891
Test Object  557
1 :  33.2165
Test Object  558
1 :  -44.2250
Test Object  559
1 :  67.5067
Test Object  560
1 :  38.7155
Test Object  561
1 :  54.4675
Test Object  562
1 :  -22.7835
Test Object  563
1 :  0.8639
Test Object  564
1 :  153.1031
Test Object  565
1 :  -18.4357
Test Object  566
1 :  48.7868
Test Object  567
1 :  79.9672
Test Object  568
1 :  124.4337
Test Object  569
1 :  142.0212
Test Object  570
1 :  124.8245
Test Object  571
1 :  69.0254
Test Object  572
1 :  40.3053
Test Object  573
1 :  52.3382
Test Object  574
1 :  61.3798
Test Object  575
1 :  125.8879
Test Object  576
1 :  123.9937
Test Object  577
1 :  42.3130
Test Object  578
1 :  40.8931
Test Object  579
1 :  132.9850
Test Object  580
1 :  78.1534
Test Object  581
1 :  122.6924
Test Object  582
1 :  111.3622
Test Object  583
1 :  -51.4630
Test Object  584
1 :  -39.0718
Test Object  585
1 :  36.0306
Test Object  586
1 :  -31.5198
Test Object  587
1 :  -44.6901
Test Object  588
1 :  40.5989
Test Object  589
1 :  85.6223
Test Object  590
1 :  138.4877
Test Object  591
1 :  121.4562
Test Object  592
1 :  34.0426
Test Object  593
1 :  -27.3066
Test Object  594
1 :  138.5756
Test Object  595
1 :  -35.7647
Test Object  596
1 :  105.1431
Test Object  597
1 :  -67.2242
Test Object  598
1 :  -57.8639
Test Object  599
1 :  71.5802
Test Object  600
1 :  -15.5298
Test Object  601
1 :  12.2771
Test Object  602
1 :  -20.0809
Test Object  603
1 :  74.2306
Test Object  604
1 :  85.2524
Test Object  605
1 :  129.3417
Test Object  606
1 :  133.2262
Test Object  607
1 :  127.3570
Test Object  608
1 :  37.0713
Test Object  609
1 :  69.3339
Test Object  610
1 :  51.5073
Test Object  611
1 :  55.1067
Test Object  612
1 :  18.8663
Test Object  613
1 :  -46.3173
Test Object  614
1 :  -32.5727
Test Object  615
1 :  70.3597
Test Object  616
1 :  105.3937
Test Object  617
1 :  130.3540
Test Object  618
1 :  -29.3132
Test Object  619
1 :  121.0687
Test Object  620
1 :  -36.4494
Test Object  621
1 :  95.7116
Test Object  622
1 :  -61.6392
Test Object  623
1 :  -48.8463
Test Object  624
1 :  52.1264
Test Object  625
1 :  19.8065
Test Object  626
1 :  -39.3887
Test Object  627
1 :  -3.8920
Test Object  628
1 :  118.1935
Test Object  629
1 :  55.4188
Test Object  630
1 :  122.1882
Test Object  631
1 :  -43.8946
Test Object  632
1 :  122.3837
Test Object  633
1 :  -38.1701
Test Object  634
1 :  66.5111
Test Object  635
1 :  -53.5034
Test Object  636
1 :  10.5914
Test Object  637
1 :  62.6887
Test Object  638
1 :  32.5351
Test Object  639
1 :  46.5730
Test Object  640
1 :  -23.6555
Test Object  641
1 :  39.0011
Test Object  642
1 :  79.2762
Test Object  643
1 :  122.6769
Test Object  644
1 :  117.4347
Test Object  645
1 :  77.1934
Test Object  646
1 :  53.1407
Test Object  647
1 :  22.1746
Test Object  648
1 :  134.1554
Test Object  649
1 :  12.3442
Test Object  650
1 :  -57.5363
Test Object  651
1 :  19.3428
Test Object  652
1 :  -49.0698
Test Object  653
1 :  30.1711
Test Object  654
1 :  95.6548
Test Object  655
1 :  148.1615
Test Object  656
1 :  47.5703
Test Object  657
1 :  77.3782
Test Object  658
1 :  -39.9820
Test Object  659
1 :  68.2926
Test Object  660
1 :  -45.2797
Test Object  661
1 :  119.6261
Test Object  662
1 :  25.7348
Test Object  663
1 :  99.4008
Test Object  664
1 :  -48.8793
Test Object  665
1 :  -47.6547
Test Object  666
1 :  56.7044
Test Object  667
1 :  24.4068
Test Object  668
1 :  24.1969
Test Object  669
1 :  -8.1375
Test Object  670
1 :  39.1709
Test Object  671
1 :  51.5676
Test Object  672
1 :  -16.6697
Test Object  673
1 :  -31.1335
Test Object  674
1 :  27.5640
Test Object  675
1 :  24.4108
Test Object  676
1 :  -36.5295
Test Object  677
1 :  42.2152
Test Object  678
1 :  -84.3042
Test Object  679
1 :  -48.8508
Test Object  680
1 :  55.4391
Test Object  681
1 :  137.6326
Test Object  682
1 :  43.9029
Test Object  683
1 :  76.4126
Test Object  684
1 :  63.0185
Test Object  685
1 :  47.1960
Test Object  686
1 :  119.0848
Test Object  687
1 :  114.8395
Test Object  688
1 :  65.1471
Test Object  689
1 :  80.8862
Test Object  690
1 :  115.7739
Test Object  691
1 :  80.6117
Test Object  692
1 :  126.7557
Test Object  693
1 :  34.6374
Test Object  694
1 :  -38.4046
Test Object  695
1 :  70.0149
Test Object  696
1 :  53.4518
Test Object  697
1 :  129.2889
Test Object  698
1 :  69.7063
Test Object  699
1 :  142.5773
Test Object  700
1 :  130.1183
Test Object  701
1 :  -75.7242
Test Object  702
1 :  87.5595
Test Object  703
1 :  40.1933
Test Object  704
1 :  -69.9226
Test Object  705
1 :  -31.8183
Test Object  706
1 :  117.4128
Test Object  707
1 :  130.6964
Test Object  708
1 :  -59.5395
Test Object  709
1 :  49.4670
Test Object  710
1 :  -1.3401
Test Object  711
1 :  -88.0040
Test Object  712
1 :  -55.1504
Test Object  713
1 :  33.8346
Test Object  714
1 :  -97.9525
Test Object  715
1 :  85.9274
Test Object  716
1 :  32.1978
Test Object  717
1 :  95.9854
Test Object  718
1 :  -29.6047
Test Object  719
1 :  141.1313
Test Object  720
1 :  93.6171
Test Object  721
1 :  -38.7364
Test Object  722
1 :  105.3750
Test Object  723
1 :  30.7120
Test Object  724
1 :  105.7958
Test Object  725
1 :  110.9967
Test Object  726
1 :  -13.0972
Test Object  727
1 :  44.7694
Test Object  728
1 :  36.5003
Test Object  729
1 :  -80.5130
Test Object  730
1 :  -8.9127
Test Object  731
1 :  13.6198
Test Object  732
1 :  45.2572
Test Object  733
1 :  135.8417
Test Object  734
1 :  128.3309
Test Object  735
1 :  105.7113
Test Object  736
1 :  47.6118
Test Object  737
1 :  -41.6356
Test Object  738
1 :  20.0327
Test Object  739
1 :  27.2481
Test Object  740
1 :  1.9226
Test Object  741
1 :  67.1993
Test Object  742
1 :  118.0492
Test Object  743
1 :  51.1012
Test Object  744
1 :  -53.7415
Test Object  745
1 :  12.0319
Test Object  746
1 :  50.0259
Test Object  747
1 :  113.4535
Test Object  748
1 :  29.7822
Test Object  749
1 :  88.9087
Test Object  750
1 :  36.6413
Test Object  751
1 :  42.1514
Test Object  752
1 :  132.3510
Test Object  753
1 :  26.6173
Test Object  754
1 :  117.4182
Test Object  755
1 :  35.3738
Test Object  756
1 :  117.3418
Test Object  757
1 :  44.9768
Test Object  758
1 :  107.6855
Test Object  759
1 :  42.4506
Test Object  760
1 :  102.9211
Test Object  761
1 :  14.8931
Test Object  762
1 :  116.7210
Test Object  763
1 :  -20.7454
Test Object  764
1 :  96.3097
Test Object  765
1 :  -3.5441
Test Object  766
1 :  126.9400
Test Object  767
1 :  -87.0342
Test Object  768
1 :  -49.2591
Test Object  769
1 :  135.1472
Test Object  770
1 :  35.1779
Test Object  771
1 :  143.5104
Test Object  772
1 :  -43.8066
Test Object  773
1 :  127.1887
Test Object  774
1 :  84.5697
Test Object  775
1 :  61.9007
Test Object  776
1 :  37.5072
Test Object  777
1 :  52.4681
Test Object  778
1 :  110.8955
Test Object  779
1 :  109.1881
Test Object  780
1 :  49.7456
Test Object  781
1 :  -46.6286
Test Object  782
1 :  -65.9348
Test Object  783
1 :  66.4721
Test Object  784
1 :  67.5380
Test Object  785
1 :  22.4237
Test Object  786
1 :  -76.9653
Test Object  787
1 :  122.1379
Test Object  788
1 :  -54.9987
Test Object  789
1 :  123.1903
Test Object  790
1 :  35.9827
Test Object  791
1 :  51.2033
Test Object  792
1 :  25.0002
Test Object  793
1 :  33.8091
Test Object  794
1 :  19.5176
Test Object  795
1 :  1.4948
Test Object  796
1 :  92.8097
Test Object  797
1 :  37.8083
Test Object  798
1 :  -65.9268
Test Object  799
1 :  -74.5566
Test Object  800
1 :  90.3302
Test Object  801
1 :  146.8117
Test Object  802
1 :  25.0114
Test Object  803
1 :  -41.3551
Test Object  804
1 :  37.7477
Test Object  805
1 :  30.2953
Test Object  806
1 :  38.1838
Test Object  807
1 :  103.4396
Test Object  808
1 :  130.7959
Test Object  809
1 :  -87.0271
Test Object  810
1 :  108.0637
Test Object  811
1 :  49.0265
Test Object  812
1 :  107.7795
Test Object  813
1 :  120.6344
Test Object  814
1 :  49.6284
Test Object  815
1 :  -79.6998
Test Object  816
1 :  -20.8375
Test Object  817
1 :  127.5805
Test Object  818
1 :  137.9814
Test Object  819
1 :  -28.8484
Test Object  820
1 :  64.0265
Test Object  821
1 :  -89.4006
Test Object  822
1 :  86.2393
Test Object  823
1 :  -45.0764
Test Object  824
1 :  144.1199
Test Object  825
1 :  124.7732
Test Object  826
1 :  115.2899
Test Object  827
1 :  72.8315
Test Object  828
1 :  -89.4407
Test Object  829
1 :  141.1690
Test Object  830
1 :  34.3383
Test Object  831
1 :  121.0046
Test Object  832
1 :  43.0904
Test Object  833
1 :  125.9325
Test Object  834
1 :  35.4650
Test Object  835
1 :  26.2347
Test Object  836
1 :  -41.0220
Test Object  837
1 :  105.1779
Test Object  838
1 :  27.5035
Test Object  839
1 :  66.0395
Test Object  840
1 :  -43.3238
Test Object  841
1 :  -53.0033
Test Object  842
1 :  106.6469
Test Object  843
1 :  -91.5899
Test Object  844
1 :  102.3513
Test Object  845
1 :  16.1355
Test Object  846
1 :  121.2662
Test Object  847
